"","nombre","categoryName","address","location.lat","location.lng","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","day"
"82","Market The Hermit","Market","Lima District 15333, Peru",-11.9971997,-77.0528444,NA,NA,NA,NA,0,0,7,20,38,53,58,49,35,23,18,18,18,15,10,5,0,0,NA,NA,"Tu"
"83","Mercado ""La Merced""","Market","Avenida Emancipación, Cercado de Lima 15001, Peru",-12.0455791,-77.0391687,NA,NA,NA,NA,0,5,11,22,35,50,60,62,57,44,30,19,21,54,72,35,0,0,NA,NA,"Tu"
"84","Mercado ""Virgen del Carmen""","Market","Lima District 15434, Peru",-11.9929654,-77.0047444,NA,NA,NA,NA,NA,0,5,17,33,44,47,45,39,29,23,22,22,21,17,13,0,0,0,NA,"Tu"
"85","Mercado Artesanal","Market","Calle Gral. Suárez 315, Cercado de Lima 15074, Peru",-12.117468,-77.0279299,0,0,0,0,0,0,1,4,18,42,66,75,64,53,54,65,71,65,49,29,13,4,0,1,"Tu"
"86","Mercado Artesanal San Borja","Market","Av San Luis 1873, Lima 15021, Peru",-12.0855981,-76.9966405,NA,NA,NA,NA,NA,0,3,16,29,34,40,49,52,43,29,26,47,71,63,29,0,0,0,NA,"Tu"
"87","Mercado Belen","Market","Av Lima 2481, Cercado de Lima 15101, Peru",-12.0295233,-77.0718085,NA,NA,NA,NA,0,7,7,14,21,28,28,28,35,35,35,35,21,0,0,0,0,0,NA,NA,"Tu"
"88","Mercado Bolivar Pueblo Libre","Market","Jirón Mariano Pastor Sevilla 287-129, Cercado de Lima 15084, Peru",-12.0733048,-77.0656046,NA,NA,NA,NA,NA,0,7,19,34,48,60,65,59,45,33,25,19,13,0,0,0,0,0,NA,"Tu"
"89","Mercado Buenos Aires","Market","Prol. Lucanas 283, Cercado de Lima 15001, Peru",-12.0542514,-77.0195084,NA,NA,NA,NA,NA,0,19,37,49,55,55,49,36,22,10,4,0,1,0,0,0,0,0,NA,"Tu"
"90","Mercado Canta Callao","Market","Lima District 15109, Peru",-11.9835095,-77.0979738,NA,NA,NA,NA,0,2,2,13,36,52,57,52,44,42,34,23,10,0,0,0,0,0,NA,NA,"Tu"
"91","Mercado Central","Shopping mall","Jirón Ucayali 615, Cercado de Lima 15001, Peru",-12.0502319,-77.0260494,NA,NA,NA,NA,NA,0,4,9,19,32,47,61,68,68,63,60,60,58,45,26,0,0,0,NA,"Tu"
"92","Mercado Centro Cívico","Market","Lima District 15101, Peru",-12.0282366,-77.0720097,NA,NA,NA,NA,0,1,1,8,22,35,42,41,33,22,11,3,1,0,0,0,0,0,NA,NA,"Tu"
"93","Mercado Conde de la Vega","Market","Jiron Acomayo, Av. Dos de Mayo 102, Cercado de Lima 15079, Peru",-12.03794,-77.0490996,NA,NA,NA,NA,NA,0,0,0,25,39,43,35,25,20,18,17,15,13,11,0,0,0,0,NA,"Tu"
"94","Mercado Corpac","Market","Av. Antunez de Mayolo, Distrito de Lima 15108, Peru",-12.0040721,-77.0942546,NA,NA,NA,NA,NA,0,0,0,36,56,63,53,40,39,45,43,27,0,0,0,0,0,0,NA,"Tu"
